    %          x          y                   Strain       Energy     HOMO     LUMO      gap
-1.00 3.61897273 3.15225400  -0.01000000000000001504 -17.77722462  -1.8951  -0.2447   1.6505
-0.50 3.63725037 3.16817447  -0.00500000000000002120 -17.78414644  -1.9543  -0.3245   1.6298
 0.00 3.65552801 3.18409495   0.00000000000000000000 -17.78685952  -2.0309  -0.4220   1.6089
 0.50 3.67380565 3.20001542   0.00500000000000002120 -17.78539472  -2.0845  -0.5100   1.5744
 1.00 3.69208329 3.21593590   0.01000000000000001504 -17.77987430  -2.1393  -0.5994   1.5399
