    %          x          y                   Strain             PoissonRatio       Energy     HOMO     LUMO      gap
-1.00 3.60057553 3.17114534  -0.00999999999999995985   9.77617613661120915276 -17.79350851  -1.9135  -0.2236   1.6901
-0.50 3.61876025 3.17121104  -0.00499999999999997992   4.79094795467476711626 -17.79724866  -1.9471  -0.2536   1.6935
 0.00 3.63694498 3.16456256   0.00000000000000000000   0.00000000000000000000 -17.79963690  -1.9802  -0.2839   1.6964
 0.50 3.65512970 3.16182546   0.00499999999999997992   2.60542302836387816567 -17.79954647  -2.0054  -0.3411   1.6643
 1.00 3.67331443 3.16259978   0.00999999999999995985   5.97140236382922649609 -17.79779434  -2.0306  -0.3985   1.6321
