    %          x          y                   Strain             PoissonRatio       Energy     HOMO     LUMO      gap
-2.00 3.65375302 3.10454681  -0.01999999999999994633   4.32762388828736313225 -17.78411664  -1.8446  -0.1545   1.6903
-1.50 3.64232434 3.12038633  -0.01500000000000004656  10.14138341346922287615 -17.78950661  -1.8797  -0.1875   1.6923
-1.00 3.64181060 3.13622586  -0.00999999999999998895   7.47477835942064610655 -17.79396373  -1.9135  -0.2196   1.6939
-0.50 3.64072033 3.15206538  -0.00500000000000005760   4.81669467890101176549 -17.79749305  -1.9472  -0.2519   1.6954
 0.00 3.63310529 3.16790491   0.00000000000000000000   0.00000000000000000000 -17.79963685  -1.9802  -0.2839   1.6964
 0.50 3.62988551 3.18374443   0.00500000000000005760   2.57593482814717211868 -17.79955732  -2.0072  -0.3394   1.6679
 1.00 3.63072949 3.19958396   0.00999999999999998895   5.85142382811658371853 -17.79840606  -2.0336  -0.3946   1.6390
